date,net_pnl,duration_seconds
2023-03-06,-135.75,86400.000
2023-03-06,281.37,54000.000
2023-03-06,-30.94,24120.000
2023-03-07,756.32,83700.000
2023-03-11,-99.66,4200.000
2023-03-12,50.67,70200.000
2023-03-12,-4910.77,440100.000
2023-03-15,-163.36,4260.000
2023-03-16,-89.54,12840.000
2023-03-19,259.60,11220.000
2023-03-21,-42.76,5400.000
2023-03-22,-99.45,114540.000
2023-03-22,-23347.61,869400.000
2023-03-23,2707.69,70200.000
2023-03-23,-123.14,6060.000
2023-03-24,1646.52,94500.000
2023-03-26,317.25,153900.000
2023-03-26,165.38,16680.000
2023-03-27,1659.12,97200.000
2023-03-28,276.11,102600.000
2023-03-28,-78.25,2940.000
2023-03-30,-1422.20,164700.000
2023-03-31,-84.19,9600.000
2023-04-02,-38.25,10980.000
2023-04-03,-72.04,12180.000
2023-04-04,-59.00,19920.000
2023-04-05,1611.68,461700.000
2023-04-05,1267.78,51300.000
2023-04-08,-33.65,216000.000
2023-04-08,-20.57,29700.000
2023-04-09,-26.47,16140.000
2023-04-09,-37.38,420.000
2023-04-12,-4653.32,340200.000
2023-04-13,993.89,129600.000
2023-04-14,182.35,77820.000
2023-04-14,342.61,91800.000
2023-04-16,-35.12,1500.000
2023-04-16,159.88,183600.000
2023-04-17,766.39,18900.000
2023-04-18,158.19,7200.000
2023-04-18,733.71,126900.000
2023-04-19,2223.84,75600.000
2023-04-22,-4229.29,280800.000
2023-04-23,-51.32,18240.000
2023-04-23,-221.71,89100.000
2023-04-24,570.71,35100.000
2023-04-24,-71.00,18660.000
2023-04-24,1011.38,27000.000
2023-04-25,347.93,121500.000
2023-04-25,233.09,11640.000
2023-04-27,-190.65,2340.000
2023-04-29,-6.79,40500.000
2023-04-29,-30.24,13620.000
2023-04-29,-4041.14,342900.000
2023-04-30,-25.61,960.000
2023-04-30,90.48,2760.000
2023-04-30,1016.86,78300.000
2023-05-01,2266.16,40500.000
2023-05-02,-1252.14,121500.000
2023-05-03,-90.76,37200.000
2023-05-03,-670.17,89100.000
2023-05-03,1726.73,32400.000
2023-05-04,-37.00,56700.000
2023-05-04,686.65,56700.000
2023-05-05,1042.96,43200.000
2023-05-05,-66.46,17880.000
2023-05-06,1414.02,132300.000
2023-05-10,-48.80,13740.000
2023-05-10,-1279.84,342900.000
2023-05-10,-49.84,16140.000
2023-05-11,2107.30,89100.000
2023-05-12,-1138.92,110700.000
2023-05-13,-82.06,20580.000
2023-05-14,113.23,97200.000
2023-05-14,847.90,54000.000
2023-05-16,-416.38,116100.000
2023-05-17,-357.71,94500.000
2023-05-17,603.83,21600.000
2023-05-17,1444.25,40500.000
2023-05-18,-51.95,64800.000
2023-05-18,818.32,75600.000
2023-05-20,-347.47,170100.000
2023-05-20,57.14,18060.000
2023-05-21,61.90,72900.000
2023-05-22,-45.61,960.000
2023-05-23,1298.42,145800.000
2023-05-24,1501.08,86400.000
2023-05-25,-845.78,140400.000
2023-05-26,-55.44,19860.000
2023-05-29,-3115.80,334800.000
2023-05-30,-46.94,5100.000
2023-06-02,-1360.77,307800.000
2023-06-02,-50.24,23400.000
2023-06-03,192.03,143100.000
2023-06-04,-24.71,9780.000
2023-06-05,156.42,91800.000
2023-06-05,90.23,8100.000
2023-06-06,-2680.75,135000.000
2023-06-07,336.92,27000.000
2023-06-08,-63.45,3120.000
2023-06-09,-39.71,1800.000
2023-06-09,-11.37,29700.000
2023-06-10,1117.67,313200.000
2023-06-11,1062.98,129600.000
2023-06-11,-47.59,16920.000
2023-06-12,-48.89,12240.000
2023-06-13,137.05,45000.000
2023-06-13,389.17,164700.000
2023-06-14,-36.50,7080.000
2023-06-14,-27.98,2760.000
2023-06-15,-545.69,191700.000
2023-06-16,-73.31,63960.000
2023-06-19,-33.30,180.000
2023-06-19,164.57,3600.000
2023-06-22,-11097.07,583200.000
2023-06-23,2945.24,94500.000
2023-06-24,1569.57,81000.000
2023-06-25,909.20,45900.000
2023-06-25,-39.23,20580.000
2023-06-26,1684.66,132300.000
2023-06-27,-44.77,6240.000
2023-06-27,1395.00,67500.000
2023-06-29,138.78,15420.000
2023-06-30,1497.62,270000.000
2023-07-01,1119.60,78300.000
2023-07-02,-31.27,48780.000
2023-07-02,52.12,62100.000
2023-07-02,-23.87,1320.000
2023-07-02,-43.62,2460.000
2023-07-02,-38.97,6180.000
2023-07-02,198.26,59400.000
2023-07-04,-325.13,162000.000
2023-07-06,139.07,4740.000
2023-07-06,878.06,135000.000
2023-07-07,-52.20,4680.000
2023-07-08,-39.93,26460.000
2023-07-08,2245.78,210600.000
2023-07-09,-28.72,4200.000
2023-07-10,127.93,17400.000
2023-07-10,1497.49,175500.000
2023-07-13,-30.47,2100.000
2023-07-14,1518.11,342900.000
2023-07-16,-22.46,2100.000
2023-07-19,-40.00,7260.000
2023-07-19,-47.61,8400.000
2023-07-20,-33.62,4200.000
2023-07-20,207.00,475200.000
2023-07-20,95.29,12720.000
2023-07-21,-31.80,1320.000
2023-07-23,-24.70,27000.000
2023-07-24,2023.16,356400.000
2023-07-25,-387.40,99900.000
2023-07-26,-34.31,17700.000
2023-07-26,-30.30,2580.000
2023-07-26,103.96,22920.000
2023-07-28,-31.97,2160.000
2023-07-30,-15.63,25200.000
2023-07-30,-18.72,3180.000
2023-07-30,-258.09,453600.000
2023-07-31,-41.99,44640.000
2023-08-01,-154.34,170100.000
2023-08-01,166.62,10740.000
2023-08-03,341.64,129600.000
2023-08-03,444.07,27000.000
2023-08-03,-44.17,5940.000
2023-08-04,-30.24,7200.000
2023-08-04,477.75,99900.000
2023-08-06,-12.87,7020.000
2023-08-06,-16.08,8520.000
2023-08-08,153.54,57840.000
2023-08-08,1062.85,324000.000
